Order ID,Order Date,Sales,Discount,Customer Name,Segment,Region,Sub-Category,Marketing Spend,CustomerID
CA-2016-152156,2016-11-08,261.96,0.0,Claire Gute,Consumer,South,Bookcases,29.58755597641477,
CA-2016-152156,2016-11-08,731.94,0.0,Claire Gute,Consumer,South,Chairs,78.98216657225821,
CA-2016-138688,2016-06-12,14.62,0.0,Darrin Van Huff,Corporate,West,Labels,1.0764251298015401,
US-2015-108966,2015-10-11,957.5775,0.45,Sean O'Donnell,Consumer,South,Tables,98.94502796377263,
US-2015-108966,2015-10-11,22.368,0.2,Sean O'Donnell,Consumer,South,Storage,3.5805553523521567,
CA-2014-115812,2014-06-09,48.86,0.0,Brosina Hoffman,Consumer,West,Furnishings,5.994964781233226,
CA-2014-115812,2014-06-09,7.28,0.0,Brosina Hoffman,Consumer,West,Art,0.5614923499114775,
CA-2014-115812,2014-06-09,907.152,0.2,Brosina Hoffman,Consumer,West,Phones,143.19002838234147,
CA-2014-115812,2014-06-09,18.504,0.2,Brosina Hoffman,Consumer,West,Binders,3.3878052405021397,
CA-2014-115812,2014-06-09,114.9,0.0,Brosina Hoffman,Consumer,West,Appliances,10.447319429543263,
CA-2014-115812,2014-06-09,1706.184,0.2,Brosina Hoffman,Consumer,West,Tables,153.43152797150418,
CA-2014-115812,2014-06-09,911.424,0.2,Brosina Hoffman,Consumer,West,Phones,128.41390501334615,
CA-2017-114412,2017-04-15,15.552,0.2,Andrew Allen,Consumer,South,Paper,1.3630873328417452,
CA-2016-161389,2016-12-05,407.976,0.2,Irene Maddox,Consumer,West,Binders,52.23120367773321,
US-2015-118983,2015-11-22,68.81,0.8,Harold Pawlan,Home Office,Central,Appliances,9.957418163282595,
US-2015-118983,2015-11-22,2.544,0.8,Harold Pawlan,Home Office,Central,Binders,0.6020606310951064,
CA-2014-105893,2014-11-11,665.88,0.0,Pete Kriz,Consumer,Central,Storage,76.5823365226376,
CA-2014-167164,2014-05-13,55.5,0.0,Alejandro Grove,Consumer,West,Storage,6.7658680774491025,
CA-2014-143336,2014-08-27,8.56,0.0,Zuschuss Donatelli,Consumer,West,Art,0.9519790276870803,
CA-2014-143336,2014-08-27,213.48,0.2,Zuschuss Donatelli,Consumer,West,Phones,36.11757513413472,
CA-2014-143336,2014-08-27,22.72,0.2,Zuschuss Donatelli,Consumer,West,Binders,3.8792261640454253,
CA-2016-137330,2016-12-09,19.46,0.0,Ken Black,Corporate,Central,Art,3.4700439125075095,
CA-2016-137330,2016-12-09,60.34,0.0,Ken Black,Corporate,Central,Appliances,9.074005737982947,
US-2017-156909,2017-07-16,71.372,0.3,Sandra Flanagan,Consumer,East,Chairs,12.698626390536376,
CA-2015-106320,2015-09-25,1044.63,0.0,Emily Burns,Consumer,West,Tables,134.07454527809392,
CA-2016-121755,2016-01-16,11.648,0.2,Eric Hoffmann,Consumer,West,Binders,2.0818939885802674,
CA-2016-121755,2016-01-16,90.57,0.0,Eric Hoffmann,Consumer,West,Accessories,7.734546416804933,
US-2015-150630,2015-09-17,3083.43,0.5,Tracy Blumstein,Consumer,East,Bookcases,339.3128674919697,
US-2015-150630,2015-09-17,9.618,0.7,Tracy Blumstein,Consumer,East,Binders,1.2469115527029613,
US-2015-150630,2015-09-17,124.2,0.2,Tracy Blumstein,Consumer,East,Furnishings,15.289937245389138,
US-2015-150630,2015-09-17,3.264,0.2,Tracy Blumstein,Consumer,East,Envelopes,0.33064038436728693,
US-2015-150630,2015-09-17,86.304,0.2,Tracy Blumstein,Consumer,East,Art,8.750263488684366,
US-2015-150630,2015-09-17,6.858,0.7,Tracy Blumstein,Consumer,East,Binders,0.8437038722814719,
